id,firstName,lastName,middleName,gender,birthDate
"1","Аліна","Демчишина","Пантелеймонівна","female","Tue Mar 26 1985 15:43:19 GMT+0300 (Eastern European Standard Time)"
"2","Марина","Забіла","Михайлівна","female","Thu Apr 20 1989 03:00:42 GMT+0400 (Eastern European Summer Time)"
"3","Зоряна","Петик","Панасівна","female","Sat Feb 22 1969 09:45:29 GMT+0300 (Eastern European Standard Time)"
"4","Юліанна","Петрина","Звенимирівна","female","Tue Oct 16 2001 10:00:18 GMT+0300 (Eastern European Summer Time)"
"5","Ростислава","Демчишина","Владиславівна","female","Fri Aug 17 1984 20:01:48 GMT+0400 (Eastern European Summer Time)"
"6","Сніжана","Гамула","Охрімівна","female","Fri Jan 21 1994 10:37:42 GMT+0200 (Eastern European Standard Time)"
"7","Стефаній","Галаціон","Білославович","male","Fri Oct 04 1974 05:12:30 GMT+0300 (Eastern European Standard Time)"
"8","Кузьма","Гамула","Захарійович","male","Tue Apr 08 1986 11:15:23 GMT+0400 (Eastern European Summer Time)"
"9","Немир","Миклухо","Миколайович","male","Wed Feb 21 2007 01:36:28 GMT+0200 (Eastern European Standard Time)"
"10","Юліанна","Сучак","Стефаніївна","female","Fri Aug 21 1970 19:11:49 GMT+0300 (Eastern European Standard Time)"
"11","Альвіна","Притула","Макарівна","female","Tue Jan 21 1992 22:53:18 GMT+0200 (Eastern European Standard Time)"
"12","Тарас","Ліхно","Славутович","male","Mon Oct 08 1984 00:47:30 GMT+0300 (Eastern European Standard Time)"
"13","Ілля","Гарун","Андрійович","male","Sun Dec 31 1967 03:31:48 GMT+0300 (Eastern European Standard Time)"
"14","Надія","Довгалевська","Орестівна","female","Thu Jan 04 1979 16:02:24 GMT+0300 (Eastern European Standard Time)"
"15","Горимир","Шамрило","Охрімович","male","Thu Sep 25 1975 03:04:47 GMT+0300 (Eastern European Standard Time)"
"16","Милослава","Карпух","Гордіївна","female","Wed Jul 12 1972 21:16:42 GMT+0300 (Eastern European Standard Time)"
"17","Сніжана","Шухевич","Натанівна","female","Sat Aug 18 1979 15:33:29 GMT+0300 (Eastern European Standard Time)"
"18","Зоя","Сушко","Ізяславівна","female","Thu Jun 21 1990 12:16:45 GMT+0400 (Eastern European Summer Time)"
"19","Тур","Паламарчук","Станіславович","male","Fri Jun 14 1968 03:57:00 GMT+0300 (Eastern European Standard Time)"
"20","Ярополк","Павлів","Корнелійович","male","Sat Apr 18 1970 11:17:58 GMT+0300 (Eastern European Standard Time)"
"21","Всеслав","Могилевський","Звенимирович","male","Fri Oct 30 1998 17:06:09 GMT+0200 (Eastern European Standard Time)"
"22","Марина","Бачей","Зеновіївна","female","Fri Oct 04 1996 11:35:55 GMT+0300 (Eastern European Summer Time)"
"23","Власта","Маковецька","Романівна","female","Mon Apr 11 1966 23:35:51 GMT+0300 (Eastern European Standard Time)"
"24","Корнилій","Притула","Бориславович","male","Fri May 05 1995 07:59:01 GMT+0300 (Eastern European Summer Time)"
"25","Аркадія","Плаксій","Омелянівна","female","Fri Mar 14 1986 05:11:03 GMT+0300 (Eastern European Standard Time)"
"26","Всеволод","Щербак","Немирович","male","Mon Oct 27 1975 12:35:22 GMT+0300 (Eastern European Standard Time)"
"27","Тарас","Цимбалістий","Родіонович","male","Fri May 23 1975 15:17:24 GMT+0300 (Eastern European Standard Time)"
"28","Данило","Ломовий","Мирославович","male","Mon Aug 23 2004 00:07:30 GMT+0300 (Eastern European Summer Time)"
"29","Дарислава","Витребенько","Архипівна","female","Thu Jan 14 1982 19:59:06 GMT+0300 (Eastern European Standard Time)"
"30","Софія","Петрів","Мстиславівна","female","Mon Apr 22 1996 05:49:32 GMT+0300 (Eastern European Summer Time)"
"31","Наталія","Шупик","Омелянівна","female","Wed Jul 02 1980 00:14:10 GMT+0300 (Eastern European Standard Time)"
"32","Добромисл","Приймак","Білославович","male","Sat Jun 25 1983 22:40:13 GMT+0400 (Eastern European Summer Time)"
"33","Анастасій","Кандиба","Герасимович","male","Fri Oct 07 1988 16:19:42 GMT+0300 (Eastern European Standard Time)"
"34","Денис","Гайчук","Юрійович","male","Wed Mar 26 1986 11:06:59 GMT+0300 (Eastern European Standard Time)"
"35","Жозефіна","Калач","Златомирівна","female","Sun Apr 27 1986 14:05:42 GMT+0400 (Eastern European Summer Time)"
"36","Божемир","Лютий","Остапович","male","Thu Sep 11 1980 23:56:47 GMT+0300 (Eastern European Standard Time)"
"37","Іван","Данилко","Ярославович","male","Sun May 21 2006 10:58:27 GMT+0300 (Eastern European Summer Time)"
"38","Лідія","Павленко","Боримирівна","female","Mon Oct 26 1970 07:05:00 GMT+0300 (Eastern European Standard Time)"
"39","Ізяслав","Третяк","Петрович","male","Sat Jun 26 2004 10:20:36 GMT+0300 (Eastern European Summer Time)"
"40","Тарас","Дідух","Олелькович","male","Wed Nov 21 2001 02:24:54 GMT+0200 (Eastern European Standard Time)"
"41","Захарій","Шудрик","Анастасович","male","Fri Sep 06 1991 00:14:11 GMT+0300 (Eastern European Summer Time)"
"42","Жанна","Потоцька","Арсенівна","female","Sat Oct 20 1990 05:15:34 GMT+0300 (Eastern European Summer Time)"
"43","Юхима","Червоній","Костянтинівна","female","Tue Feb 11 1975 17:58:39 GMT+0300 (Eastern European Standard Time)"
"44","Тетяна","Гладух","Олегівна","female","Tue Nov 08 2005 01:11:35 GMT+0200 (Eastern European Standard Time)"
"45","Мар’яна","Маринич","Андріївна","female","Tue Oct 14 1969 00:14:02 GMT+0300 (Eastern European Standard Time)"
"46","Орислава","Сідляк","Зиновіївна","female","Wed Jul 18 1979 23:38:18 GMT+0300 (Eastern European Standard Time)"
"47","Святослав","Вітряк","Павлович","male","Sun Oct 18 1987 14:46:10 GMT+0300 (Eastern European Standard Time)"
"48","Хорив","Трясун","Володимирович","male","Wed Apr 10 1991 10:06:25 GMT+0300 (Eastern European Summer Time)"
"49","Захарій","Мазайло","В’ячеславович","male","Fri Mar 12 1965 02:07:34 GMT+0300 (Eastern European Standard Time)"
"50","Анжела","Ющук","Захарівна","female","Thu Feb 11 1993 05:12:31 GMT+0200 (Eastern European Standard Time)"
"51","Андрій","Горовий","Олелькович","male","Fri Jul 26 1974 17:43:01 GMT+0300 (Eastern European Standard Time)"
"52","Яромир","Дмитришин","Владиславович","male","Sat Sep 18 1971 08:02:03 GMT+0300 (Eastern European Standard Time)"
"53","Палажка","Гриневська","Микитівна","female","Fri Sep 22 2000 07:10:21 GMT+0300 (Eastern European Summer Time)"
"54","Матвій","Боровський","Васильович","male","Thu Sep 19 1968 05:02:50 GMT+0300 (Eastern European Standard Time)"
"55","Олесь","Гойко","Святославович","male","Sun Jul 25 1999 05:49:38 GMT+0300 (Eastern European Summer Time)"
